tx_id,user_id,merchant_id,tx_timestamp,amount,channel,status,device_id,injected_scenario
T0000035,U00013,M0029,2026-01-01 08:25:36,1132.9,online,approved,D01101,normal
T0000036,U00451,M0020,2026-01-01 08:29:55,1395.58,mobile,approved,D00617,normal
T0000037,U00010,M0102,2026-01-01 08:35:22,2105.85,online,approved,D00965,normal
T0000038,U00009,M0049,2026-01-01 08:39:56,694.96,card_present,declined,D00005,normal
T0000039,U00540,M0112,2026-01-01 08:48:29,3719.75,card_present,approved,D01310,normal
T0000040,U00687,M0036,2026-01-01 08:49:07,630.9,card_present,approved,D00985,normal
T0000041,U00665,M0119,2026-01-01 08:56:02,1937.61,card_present,approved,D00267,normal
T0000042,U00425,M0082,2026-01-01 08:59:48,9550.41,online,approved,D00430,normal
T0000043,U00745,M0083,2026-01-01 09:00:00,868.28,card_present,approved,D01345,normal
T0000044,U00777,M0098,2026-01-01 09:04:49,1283.22,card_present,approved,D01290,normal
T0000045,U00623,M0062,2026-01-01 09:08:34,1498.38,card_present,approved,D00949,normal
T0000046,U00429,M0098,2026-01-01 09:12:10,1804.35,card_present,approved,D00883,normal
T0000047,U00073,M0033,2026-01-01 09:15:11,2485.17,online,approved,D00242,normal
T0000048,U00080,M0049,2026-01-01 09:16:09,1750.13,online,approved,D00404,normal
T0000049,U00532,M0106,2026-01-01 09:17:15,3466.87,mobile,approved,D00788,normal
T0000050,U00020,M0042,2026-01-01 09:18:28,23477.86,online,approved,D00781,normal
T0000051,U00716,M0083,2026-01-01 09:19:19,271.69,card_present,approved,D00257,normal
T0000052,U00367,M0067,2026-01-01 09:20:45,25879.95,card_present,approved,D01223,normal
T0000053,U00740,M0100,2026-01-01 09:30:39,4405.92,online,approved,D00344,normal
T0000054,U00758,M0105,2026-01-01 09:43:48,5316.56,card_present,approved,D01082,normal
T0000055,U00258,M0030,2026-01-01 09:52:44,1389.53,card_present,approved,D01535,normal
T0000056,U00046,M0030,2026-01-01 09:56:55,4304.89,mobile,approved,D00417,normal
T0000057,U00425,M0067,2026-01-01 09:57:56,13301.81,card_present,approved,D01560,normal
T0000058,U00578,M0118,2026-01-01 09:59:00,1597.02,online,approved,D01040,normal
T0000059,U00168,M0101,2026-01-01 10:02:09,7985.34,card_present,approved,D00548,normal
T0000060,U00362,M0064,2026-01-01 10:17:31,675.08,card_present,approved,D00294,normal
T0000061,U00767,M0102,2026-01-01 10:29:55,2386.86,online,approved,D01351,normal
T0000062,U00504,M0032,2026-01-01 10:34:54,1329.7,card_present,approved,D01424,normal
T0000063,U00521,M0058,2026-01-01 10:36:19,1345.68,card_present,approved,D01149,normal
T0000064,U00156,M0066,2026-01-01 10:43:28,4098.16,mobile,approved,D01034,normal
T0000065,U00384,M0101,2026-01-01 10:45:35,555.14,online,approved,D01179,normal
T0000066,U00194,M0096,2026-01-01 10:45:58,558.95,online,approved,D00717,normal
T0000067,U00659,M0112,2026-01-01 10:50:07,907.78,card_present,approved,D00187,normal
T0000068,U00248,M0041,2026-01-01 10:50:09,1206.6,card_present,approved,D00329,normal
T0000069,U00509,M0031,2026-01-01 10:55:23,1374.83,online,approved,D01024,normal
T0000070,U00718,M0102,2026-01-01 10:55:45,608.69,card_present,approved,D00014,normal
T0000071,U00224,M0024,2026-01-01 10:57:38,24483.03,mobile,approved,D01426,normal
T0000072,U00137,M0090,2026-01-01 11:09:14,10133.32,card_present,approved,D00445,normal
T0000073,U00324,M0035,2026-01-01 11:13:37,347.49,card_present,approved,D01487,normal
T0000074,U00696,M0079,2026-01-01 11:29:06,1648.37,card_present,approved,D01436,normal
T0000075,U00435,M0102,2026-01-01 11:32:44,986.4,card_present,approved,D00263,normal
T0000076,U00785,M0050,2026-01-01 11:49:04,1733.31,online,approved,D01382,normal
T0000077,U00092,M0028,2026-01-01 11:59:35,1379.57,card_present,approved,D00718,normal
T0000078,U00359,M0087,2026-01-01 11:59:57,634.67,online,approved,D00075,normal
T0000079,U00388,M0042,2026-01-01 12:09:57,12181.09,mobile,approved,D01207,normal
T0000080,U00048,M0036,2026-01-01 12:14:33,831.09,online,approved,D01087,normal
T0000081,U00679,M0120,2026-01-01 12:40:47,445.86,online,approved,D00793,normal
T0000082,U00671,M0074,2026-01-01 12:45:08,2127.55,card_present,approved,D01171,normal
T0000083,U00195,M0069,2026-01-01 12:48:39,1673.31,online,approved,D00780,normal
T0000084,U00171,M0076,2026-01-01 12:54:23,1341.35,card_present,approved,D01174,normal
T0000085,U00400,M0061,2026-01-01 13:00:10,1656.31,card_present,approved,D01591,normal
T0000086,U00181,M0039,2026-01-01 13:01:54,4786.81,online,approved,D00854,normal
T0000087,U00416,M0115,2026-01-01 13:12:26,2872.23,online,approved,D01542,normal
T0000088,U00156,M0008,2026-01-01 13:21:32,952.97,card_present,approved,D01241,normal
T0000089,U00468,M0059,2026-01-01 13:23:11,8019.4,card_present,approved,D01062,normal
T0000090,U00332,M0049,2026-01-01 13:25:55,2613.72,card_present,approved,D01443,normal
T0000091,U00147,M0086,2026-01-01 13:26:14,6088.36,card_present,approved,D00113,normal
T0000092,U00278,M0054,2026-01-01 13:30:42,2064.55,card_present,approved,D00579,normal
T0000093,U00059,M0107,2026-01-01 13:34:16,14827.65,card_present,approved,D01117,normal
T0000094,U00082,M0022,2026-01-01 13:36:38,2478.48,card_present,approved,D01065,normal
T0000095,U00448,M0093,2026-01-01 13:37:43,1781.38,mobile,approved,D00522,normal
T0000096,U00476,M0111,2026-01-01 13:39:06,2911.01,online,approved,D01116,normal
T0000097,U00604,M0096,2026-01-01 13:42:56,803.61,online,approved,D00504,normal
T0000098,U00486,M0069,2026-01-01 13:46:22,1127.58,mobile,approved,D01269,normal
T0000099,U00267,M0027,2026-01-01 13:48:17,4900.74,online,approved,D01275,normal
T0000100,U00036,M0030,2026-01-01 13:52:06,1816.37,card_present,approved,D01444,normal
T0000101,U00172,M0068,2026-01-01 13:54:23,1150.03,card_present,approved,D01228,normal
T0000102,U00519,M0015,2026-01-01 13:55:02,1311.06,card_present,approved,D01260,normal
T0000103,U00387,M0023,2026-01-01 13:58:14,582.4,card_present,approved,D00725,normal
T0000104,U00604,M0091,2026-01-01 14:00:35,7238.42,card_present,approved,D00590,normal
T0000105,U00771,M0009,2026-01-01 14:07:26,1141.67,card_present,approved,D01238,normal
T0000106,U00460,M0027,2026-01-01 14:10:52,2090.4,card_present,approved,D00168,normal
T0000107,U00764,M0055,2026-01-01 14:38:58,709.54,card_present,approved,D00195,normal
T0000108,U00729,M0078,2026-01-01 14:53:34,1440.21,online,approved,D00977,normal
T0000109,U00320,M0042,2026-01-01 14:54:50,5977.11,online,approved,D00081,normal
T0000110,U00610,M0026,2026-01-01 14:59:46,1046.55,online,approved,D00528,normal
T0000111,U00693,M0068,2026-01-01 15:00:15,919.6,online,approved,D00096,normal
T0000112,U00516,M0103,2026-01-01 15:02:17,631.92,card_present,approved,D00420,normal
T0000113,U00404,M0024,2026-01-01 15:06:47,12637.86,card_present,approved,D00080,normal
T0000114,U00373,M0034,2026-01-01 15:15:41,2372.71,card_present,approved,D01013,normal
T0000115,U00682,M0003,2026-01-01 15:25:19,18744.83,online,approved,D00654,normal
T0000116,U00398,M0033,2026-01-01 15:33:01,4796.12,card_present,approved,D00067,normal
T0000117,U00197,M0102,2026-01-01 15:33:21,3628.41,card_present,approved,D01206,normal
T0000118,U00578,M0020,2026-01-01 15:34:59,1299.01,mobile,approved,D01361,normal
T0000119,U00574,M0002,2026-01-01 15:40:42,4310.74,card_present,approved,D00719,normal
T0000120,U00676,M0088,2026-01-01 15:43:25,8247.95,online,approved,D00299,normal
T0000121,U00151,M0088,2026-01-01 15:43:27,13224.67,mobile,approved,D00514,normal
T0000122,U00047,M0104,2026-01-01 15:53:27,2578.8,online,approved,D01316,normal
T0000123,U00325,M0116,2026-01-01 15:53:57,52904.02,card_present,approved,D01459,normal
T0000124,U00717,M0020,2026-01-01 15:57:21,706.74,card_present,approved,D00044,normal
T0000125,U00335,M0068,2026-01-01 16:12:03,611.4,online,declined,D01439,normal
T0000126,U00144,M0056,2026-01-01 16:16:50,1676.18,mobile,approved,D00200,normal
T0000127,U00263,M0084,2026-01-01 16:33:07,2998.62,card_present,approved,D01124,normal
T0000128,U00540,M0030,2026-01-01 16:34:13,1837.52,mobile,approved,D01491,normal
T0000129,U00430,M0055,2026-01-01 16:40:09,2335.05,card_present,approved,D01487,normal
T0000130,U00571,M0011,2026-01-01 16:46:31,2354.62,card_present,approved,D00324,normal
T0000131,U00531,M0102,2026-01-01 16:57:06,1952.4,online,approved,D00123,normal
T0000132,U00038,M0070,2026-01-01 16:57:55,6011.43,card_present,approved,D01063,normal
T0000133,U00282,M0032,2026-01-01 16:58:28,811.02,online,approved,D00749,normal
T0000134,U00084,M0073,2026-01-01 16:59:10,12144.15,card_present,approved,D00593,normal
T0000135,U00208,M0069,2026-01-01 17:03:23,546.04,online,approved,D00648,normal
T0000136,U00495,M0049,2026-01-01 17:08:57,963.45,card_present,approved,D00394,normal
T0000137,U00688,M0115,2026-01-01 17:11:59,2088.02,card_present,approved,D01128,normal
T0000138,U00616,M0060,2026-01-01 17:12:07,1735.0,mobile,approved,D01483,normal
T0000139,U00173,M0091,2026-01-01 17:17:10,6340.72,card_present,approved,D00092,normal
T0000140,U00663,M0120,2026-01-01 17:18:07,738.43,card_present,approved,D00036,normal
T0000141,U00162,M0100,2026-01-01 17:29:24,1616.56,online,approved,D01317,normal
T0000142,U00043,M0108,2026-01-01 17:31:38,26922.98,mobile,approved,D00449,normal
T0000143,U00350,M0112,2026-01-01 17:33:52,4124.71,card_present,approved,D00913,normal
T0000144,U00541,M0060,2026-01-01 17:37:03,603.58,mobile,approved,D00308,normal
T0000145,U00050,M0019,2026-01-01 17:40:57,1031.47,card_present,approved,D00262,normal
T0000146,U00048,M0036,2026-01-01 17:46:56,1128.34,card_present,approved,D01267,normal
T0000147,U00188,M0004,2026-01-01 17:47:41,2474.64,online,approved,D01576,normal
T0000148,U00758,M0028,2026-01-01 17:52:00,524.82,card_present,approved,D00672,normal
T0000149,U00123,M0019,2026-01-01 17:53:07,1334.62,mobile,approved,D01198,normal
T0000150,U00027,M0052,2026-01-01 17:53:58,3930.79,card_present,approved,D00129,normal
T0000151,U00023,M0111,2026-01-01 17:55:08,5754.64,card_present,approved,D00961,normal
T0000152,U00189,M0067,2026-01-01 17:56:37,12522.81,card_present,approved,D00493,normal
T0000153,U00435,M0002,2026-01-01 17:56:49,3071.03,mobile,approved,D00331,normal
T0000154,U00011,M0108,2026-01-01 18:14:31,2943.72,card_present,approved,D00708,normal
T0000155,U00366,M0101,2026-01-01 18:17:12,747.81,card_present,approved,D01174,normal
T0000156,U00617,M0037,2026-01-01 18:24:56,1042.3,mobile,approved,D01176,normal
T0000157,U00105,M0024,2026-01-01 18:31:00,26007.81,mobile,approved,D01534,normal
T0000158,U00032,M0036,2026-01-01 18:36:56,811.93,online,approved,D00143,normal
T0000159,U00498,M0118,2026-01-01 18:37:17,1941.67,card_present,approved,D01590,normal
T0000160,U00660,M0108,2026-01-01 18:45:22,21078.95,card_present,approved,D00589,normal
T0000161,U00332,M0059,2026-01-01 18:47:42,28564.81,online,approved,D00057,normal
T0000162,U00300,M0056,2026-01-01 18:50:02,3024.05,online,approved,D01222,normal
T0000163,U00322,M0014,2026-01-01 18:55:14,1157.47,mobile,approved,D00962,normal
T0000164,U00020,M0096,2026-01-01 18:56:51,2018.86,card_present,approved,D00099,normal
T0000165,U00560,M0108,2026-01-01 19:06:07,44953.12,card_present,approved,D00673,normal
T0000166,U00501,M0076,2026-01-01 19:10:36,1966.04,card_present,approved,D00064,normal
T0000167,U00455,M0068,2026-01-01 19:14:20,1519.37,online,approved,D00417,normal
T0000168,U00455,M0067,2026-01-01 19:16:16,5429.52,mobile,approved,D00215,normal
T0000169,U00286,M0078,2026-01-01 19:16:46,2378.6,card_present,approved,D00478,normal
T0000170,U00473,M0091,2026-01-01 19:16:59,12195.96,online,approved,D01396,normal
T0000171,U00592,M0104,2026-01-01 19:27:38,1783.29,online,approved,D00820,normal
T0000172,U00799,M0034,2026-01-01 19:28:55,750.89,mobile,approved,D01070,normal
T0000173,U00013,M0029,2026-01-01 19:29:02,2622.53,card_present,approved,D01365,normal
T0000174,U00242,M0049,2026-01-01 19:34:26,2700.67,online,approved,D00340,normal
T0000175,U00760,M0118,2026-01-01 19:37:01,735.15,card_present,approved,D00293,normal
T0000176,U00760,M0008,2026-01-01 19:39:33,401.42,mobile,approved,D00494,normal
T0000177,U00450,M0104,2026-01-01 19:40:14,1990.47,card_present,approved,D00384,normal
T0000178,U00046,M0044,2026-01-01 19:42:24,3608.86,card_present,approved,D01535,normal
T0000179,U00259,M0016,2026-01-01 19:46:23,1097.99,card_present,approved,D00049,normal
T0000180,U00132,M0119,2026-01-01 19:49:12,5980.01,online,approved,D01460,normal
T0000181,U00427,M0027,2026-01-01 19:57:28,1596.54,online,approved,D00074,normal
T0000182,U00029,M0068,2026-01-01 20:10:46,3564.03,mobile,approved,D00360,normal
T0000183,U00732,M0004,2026-01-01 20:13:29,2621.78,card_present,approved,D00495,normal
T0000184,U00668,M0072,2026-01-01 20:24:00,1886.08,card_present,approved,D00537,normal
T0000185,U00614,M0008,2026-01-01 20:24:39,1118.98,online,approved,D00682,normal
T0000186,U00091,M0069,2026-01-01 20:28:53,593.52,card_present,approved,D00139,normal
T0000187,U00667,M0085,2026-01-01 20:29:24,672.86,card_present,approved,D01268,normal
T0000188,U00709,M0066,2026-01-01 20:30:27,1782.55,card_present,approved,D01354,normal
T0000189,U00703,M0075,2026-01-01 20:34:03,3699.15,card_present,approved,D00079,normal
T0000190,U00056,M0059,2026-01-01 20:36:40,10002.52,online,approved,D00815,normal
T0000191,U00039,M0105,2026-01-01 20:50:28,12726.01,card_present,approved,D00165,normal
T0000192,U00087,M0067,2026-01-01 20:51:59,13374.87,card_present,approved,D01283,normal
T0000193,U00626,M0036,2026-01-01 20:53:18,1386.96,online,approved,D00239,normal
T0000194,U00078,M0066,2026-01-01 20:54:21,15116.56,card_present,approved,D00636,normal
T0000195,U00736,M0040,2026-01-01 20:55:36,21212.9,online,approved,D01195,normal
T0000196,U00286,M0102,2026-01-01 20:56:35,1010.97,mobile,approved,D00748,normal
T0000197,U00450,M0046,2026-01-01 20:56:55,1843.08,card_present,approved,D01096,normal
T0000198,U00284,M0104,2026-01-01 20:58:56,1589.98,card_present,approved,D00590,normal
T0000199,U00116,M0021,2026-01-01 21:10:23,1071.3,online,approved,D01355,normal
T0000200,U00385,M0108,2026-01-01 21:13:04,15066.64,online,approved,D00648,normal
T0000201,U00273,M0088,2026-01-01 21:14:42,10406.87,card_present,approved,D01311,normal
T0000202,U00768,M0120,2026-01-01 21:15:23,668.33,online,approved,D01353,normal
T0000203,U00574,M0104,2026-01-01 21:37:16,1031.3,card_present,approved,D01419,normal
T0000204,U00161,M0026,2026-01-01 21:37:39,1436.51,card_present,approved,D00651,normal
T0000205,U00164,M0069,2026-01-01 21:43:33,509.62,online,approved,D00613,normal
T0000206,U00012,M0080,2026-01-01 21:45:16,1359.2,card_present,approved,D01236,normal
T0000207,U00735,M0112,2026-01-01 21:48:46,1986.1,online,declined,D00741,normal
T0000208,U00369,M0081,2026-01-01 21:50:07,2798.93,online,declined,D01259,normal
T0000209,U00520,M0057,2026-01-01 21:50:32,2378.83,mobile,approved,D01053,normal
T0000210,U00594,M0041,2026-01-01 21:53:10,202.83,mobile,approved,D00025,normal
T0000211,U00192,M0009,2026-01-01 22:14:23,837.65,card_present,approved,D00399,normal
T0000212,U00241,M0020,2026-01-01 22:19:31,724.92,online,approved,D00283,normal
T0000213,U00555,M0093,2026-01-01 22:20:23,997.71,card_present,approved,D00634,normal
T0000214,U00055,M0086,2026-01-01 22:24:02,18789.84,online,approved,D01141,normal
T0000215,U00293,M0008,2026-01-01 22:30:24,1111.68,online,approved,D00210,normal
T0000216,U00435,M0060,2026-01-01 22:30:25,1401.18,card_present,approved,D00867,normal
T0000217,U00020,M0102,2026-01-01 22:39:22,4224.32,card_present,approved,D00344,normal
T0000218,U00005,M0108,2026-01-01 22:47:24,17442.75,mobile,approved,D01108,normal
T0000219,U00571,M0108,2026-01-01 22:48:30,35886.85,mobile,approved,D00230,normal
T0000220,U00582,M0039,2026-01-02 00:51:12,1213.53,card_present,approved,D01356,normal
T0000221,U00448,M0053,2026-01-02 01:02:01,1451.13,online,approved,D01251,normal
T0000222,U00276,M0069,2026-01-02 01:24:55,761.94,mobile,approved,D01358,normal
T0000223,U00728,M0032,2026-01-02 01:31:20,1485.79,online,declined,D00146,normal
T0000224,U00167,M0068,2026-01-02 01:38:08,1129.11,card_present,approved,D00558,normal
T0000225,U00043,M0022,2026-01-02 02:44:29,1309.82,mobile,approved,D00377,normal
T0000226,U00511,M0002,2026-01-02 03:22:07,1736.54,card_present,approved,D00435,normal
T0000227,U00045,M0074,2026-01-02 03:25:22,1880.01,card_present,approved,D01071,normal
T0000228,U00644,M0032,2026-01-02 03:36:10,4719.76,online,approved,D01101,normal
T0000229,U00096,M0063,2026-01-02 04:43:50,202.95,online,approved,D00607,normal
T0000230,U00366,M0107,2026-01-02 04:46:37,7362.81,card_present,approved,D00011,normal
T0000231,U00058,M0030,2026-01-02 04:56:23,965.2,card_present,approved,D01380,normal
T0000232,U00665,M0059,2026-01-02 05:11:45,50419.41,card_present,approved,D00350,normal
T0000233,U00638,M0091,2026-01-02 05:27:37,3721.09,card_present,declined,D01302,normal
T0000234,U00031,M0030,2026-01-02 05:34:33,2109.62,card_present,approved,D00444,normal
T0000235,U00179,M0107,2026-01-02 05:40:30,9313.32,online,approved,D00661,normal
T0000236,U00526,M0116,2026-01-02 07:01:42,4492.09,mobile,approved,D00314,normal
T0000237,U00654,M0098,2026-01-02 07:06:36,599.06,card_present,approved,D01022,normal
T0000238,U00471,M0024,2026-01-02 07:14:39,12806.82,card_present,approved,D00824,normal
T0000239,U00194,M0035,2026-01-02 07:19:24,727.15,mobile,approved,D01186,normal
T0000240,U00463,M0093,2026-01-02 07:24:45,3317.22,card_present,approved,D00220,normal
T0000241,U00081,M0086,2026-01-02 07:28:42,14123.44,mobile,approved,D01048,normal
T0000242,U00306,M0114,2026-01-02 07:33:25,3461.66,card_present,approved,D01202,normal
T0000243,U00781,M0067,2026-01-02 07:33:42,10751.52,card_present,approved,D01487,normal
T0000244,U00180,M0027,2026-01-02 07:36:56,1679.97,online,approved,D01408,normal
T0000245,U00190,M0102,2026-01-02 07:42:17,1222.61,online,approved,D01070,normal
T0000246,U00364,M0035,2026-01-02 07:53:08,1152.09,online,approved,D01271,normal
T0000247,U00254,M0016,2026-01-02 07:59:45,1200.11,card_present,approved,D01088,normal
T0000248,U00361,M0092,2026-01-02 08:01:10,6440.88,mobile,approved,D00616,normal
T0000249,U00402,M0092,2026-01-02 08:06:32,25259.59,online,approved,D00897,normal
T0000250,U00394,M0042,2026-01-02 08:08:17,6340.43,card_present,approved,D00141,normal
T0000251,U00574,M0039,2026-01-02 08:10:54,3259.75,card_present,approved,D00941,normal
T0000252,U00358,M0115,2026-01-02 08:13:45,939.82,card_present,approved,D00415,normal
T0000253,U00504,M0029,2026-01-02 08:23:34,3399.59,card_present,approved,D01483,normal
T0000254,U00407,M0069,2026-01-02 08:24:04,1299.79,card_present,approved,D00525,normal
T0000255,U00285,M0096,2026-01-02 08:24:29,1657.52,card_present,approved,D01470,normal
T0000256,U00516,M0006,2026-01-02 08:25:57,10360.02,online,approved,D00211,normal
T0000257,U00216,M0067,2026-01-02 08:27:44,6345.01,card_present,approved,D01193,normal
T0000258,U00521,M0095,2026-01-02 08:29:17,39871.05,card_present,approved,D01595,normal
T0000259,U00041,M0009,2026-01-02 08:33:57,1214.55,card_present,approved,D01038,normal
T0000260,U00048,M0030,2026-01-02 08:34:49,462.38,card_present,approved,D01572,normal
T0000261,U00308,M0072,2026-01-02 08:44:26,5406.44,online,approved,D00808,normal
T0000262,U00518,M0031,2026-01-02 08:47:38,934.1,online,approved,D00238,normal
T0000263,U00778,M0076,2026-01-02 08:51:31,1213.1,card_present,approved,D01269,normal
T0000264,U00248,M0030,2026-01-02 08:52:35,3731.32,card_present,approved,D00096,normal
T0000265,U00063,M0057,2026-01-02 08:56:20,1791.92,card_present,approved,D01235,normal
T0000266,U00766,M0067,2026-01-02 09:00:52,8422.86,online,approved,D00756,normal
T0000267,U00537,M0067,2026-01-02 09:42:10,11837.3,card_present,approved,D00624,normal
T0000268,U00316,M0017,2026-01-02 09:50:08,1050.03,mobile,approved,D00762,normal
T0000269,U00798,M0071,2026-01-02 09:57:32,1488.62,online,approved,D00860,normal
T0000270,U00243,M0061,2026-01-02 10:01:38,1211.82,card_present,approved,D01060,normal
T0000271,U00045,M0023,2026-01-02 10:07:51,1179.51,card_present,approved,D01069,normal
T0000272,U00354,M0079,2026-01-02 10:22:03,1309.48,card_present,approved,D00754,normal
T0000273,U00658,M0091,2026-01-02 10:24:29,5363.85,mobile,approved,D01046,normal
T0000274,U00496,M0002,2026-01-02 10:31:52,573.01,card_present,approved,D01156,normal
T0000275,U00196,M0015,2026-01-02 10:33:32,2535.93,card_present,approved,D00994,normal
T0000276,U00579,M0110,2026-01-02 10:37:47,13556.03,online,approved,D00661,normal
T0000277,U00162,M0054,2026-01-02 10:40:20,761.57,card_present,approved,D01585,normal
T0000278,U00111,M0069,2026-01-02 10:45:52,1541.59,card_present,approved,D00372,normal
T0000279,U00122,M0044,2026-01-02 10:47:26,1418.26,card_present,approved,D00589,normal
T0000280,U00398,M0047,2026-01-02 10:47:26,3283.92,card_present,approved,D00306,normal
T0000281,U00124,M0024,2026-01-02 10:55:51,20296.53,mobile,approved,D00906,normal
T0000282,U00070,M0035,2026-01-02 10:57:56,696.79,card_present,approved,D00594,normal
T0000283,U00690,M0049,2026-01-02 11:04:15,2596.78,online,approved,D01224,normal
T0000284,U00276,M0029,2026-01-02 11:06:56,1958.59,online,approved,D00490,normal
T0000285,U00370,M0049,2026-01-02 11:09:38,1765.59,card_present,approved,D00110,normal
T0000286,U00137,M0108,2026-01-02 11:16:52,29749.9,online,approved,D01054,normal
T0000287,U00314,M0100,2026-01-02 11:19:10,1450.79,online,approved,D00852,normal
T0000288,U00127,M0084,2026-01-02 11:38:06,2298.42,card_present,approved,D00427,normal
T0000289,U00101,M0024,2026-01-02 11:38:20,41907.38,card_present,approved,D00619,normal
T0000290,U00046,M0057,2026-01-02 11:50:26,4884.23,card_present,approved,D01283,normal
T0000291,U00412,M0094,2026-01-02 11:53:48,2100.4,card_present,approved,D00085,normal
T0000292,U00118,M0046,2026-01-02 11:56:37,1354.58,card_present,approved,D00115,normal
T0000293,U00597,M0091,2026-01-02 12:06:57,19421.29,mobile,approved,D00953,normal
T0000294,U00455,M0118,2026-01-02 12:12:07,3601.29,online,approved,D00677,normal
T0000295,U00111,M0052,2026-01-02 12:13:11,2855.81,card_present,approved,D00246,normal
T0000296,U00794,M0031,2026-01-02 12:20:27,2843.22,card_present,approved,D00281,normal
T0000297,U00439,M0040,2026-01-02 12:20:40,47726.4,card_present,approved,D01179,normal
T0000298,U00693,M0023,2026-01-02 12:23:55,2236.82,online,approved,D01470,normal
T0000299,U00695,M0105,2026-01-02 12:23:59,6946.41,mobile,approved,D00619,normal
T0000300,U00766,M0036,2026-01-02 12:26:42,2717.52,card_present,approved,D00300,normal
T0000301,U00075,M0104,2026-01-02 12:52:42,666.47,card_present,approved,D00574,normal
T0000302,U00499,M0092,2026-01-02 12:58:33,6072.32,card_present,approved,D01085,normal
T0000303,U00715,M0069,2026-01-02 13:09:07,415.33,card_present,approved,D00460,normal
T0000304,U00791,M0108,2026-01-02 13:20:19,14506.38,card_present,approved,D00760,normal
T0000305,U00607,M0028,2026-01-02 13:24:08,1062.78,online,approved,D00942,normal
T0000306,U00527,M0116,2026-01-02 13:25:29,16494.36,card_present,approved,D00467,normal
T0000307,U00293,M0028,2026-01-02 13:33:13,3295.41,online,approved,D01164,normal
T0000308,U00021,M0035,2026-01-02 13:37:45,1021.74,card_present,approved,D01006,normal
T0000309,U00038,M0034,2026-01-02 13:37:54,1539.32,card_present,approved,D00854,normal
T0000310,U00726,M0030,2026-01-02 13:40:42,881.03,card_present,approved,D00899,normal
T0000311,U00654,M0064,2026-01-02 13:43:49,794.18,mobile,approved,D01495,normal
T0000312,U00253,M0108,2026-01-02 13:47:59,16825.71,card_present,approved,D01396,normal
T0000313,U00136,M0094,2026-01-02 13:51:44,1619.79,online,approved,D01584,normal
T0000314,U00171,M0052,2026-01-02 13:52:20,787.5,card_present,approved,D00879,normal
