user_id,segment,city,risk_profile,tx_count,distinct_merchants,active_days,total_amount,avg_ticket,night_tx_share,out_of_home_city_share,declined_share,max_daily_tx_count,max_daily_amount,peer_avg_total_amount,peer_avg_tx_count,peer_avg_ticket,total_amount_peer_ratio,tx_count_peer_ratio,avg_ticket_peer_ratio,amount_rank_in_peer_group
U00521,mass,Moscow,low,22,18,19,322183.74,15342.08,0.1364,0.7273,0.0455,2,104481.92,142662.88,25.04,5897.48,2.2584,0.8787,2.6015,6
U00627,mass,Saint Petersburg,low,25,22,20,315952.32,12638.09,0.2,0.52,0.0,3,134274.86,143356.01,26.6,5518.85,2.204,0.94,2.29,5
U00291,mass,Kazan,low,103,68,17,400752.85,4356.01,0.2427,0.7864,0.1068,27,147817.47,182876.49,29.96,6180.02,2.1914,3.4377,0.7049,4
U00183,mass,Moscow,low,32,27,27,306333.91,9881.74,0.0938,0.875,0.0313,3,76965.4,142662.88,25.04,5897.48,2.1473,1.2781,1.6756,7
U00515,affluent,Ekaterinburg,low,31,25,26,423766.55,14125.55,0.0645,0.8387,0.0323,2,103309.13,198721.58,24.07,8367.25,2.1325,1.2878,1.6882,1
U00572,student,Novosibirsk,low,24,20,22,267613.86,11150.58,0.0417,0.875,0.0,2,91122.54,125711.72,23.76,5359.12,2.1288,1.0099,2.0807,1
U00097,student,Novosibirsk,low,22,20,17,266688.08,12122.19,0.0909,0.7727,0.0,3,210455.71,125711.72,23.76,5359.12,2.1214,0.9257,2.262,2
U00250,mass,Moscow,high,22,20,20,300909.16,13677.69,0.0,0.8182,0.0,2,60934.76,142662.88,25.04,5897.48,2.1092,0.8787,2.3192,8
U00632,mass,Novosibirsk,low,29,24,23,292349.68,10081.02,0.0345,0.8621,0.0,2,107836.8,139021.02,23.56,6026.12,2.1029,1.2307,1.6729,3
U00194,student,Ekaterinburg,low,29,24,26,215364.1,7691.57,0.1034,0.931,0.0345,3,75433.84,104198.2,25.54,4223.63,2.0669,1.1355,1.8211,1
U00056,mass,Moscow,low,30,26,24,293608.52,10124.43,0.1,0.7667,0.0333,2,79193.93,142662.88,25.04,5897.48,2.0581,1.1982,1.7167,9
U00162,student,Nizhny Novgorod,low,26,21,21,212372.02,8168.15,0.1923,0.9615,0.0,3,80061.2,103206.71,24.67,4276.55,2.0577,1.0541,1.91,1
U00072,mass,Moscow,low,32,26,25,291853.21,9414.62,0.125,0.625,0.0313,3,53715.36,142662.88,25.04,5897.48,2.0458,1.2781,1.5964,10
U00343,mass,Ekaterinburg,low,29,24,25,294623.99,10522.29,0.069,0.931,0.0345,2,131165.65,146378.08,25.98,5887.31,2.0128,1.1161,1.7873,2
U00263,mass,Kazan,medium,35,29,31,367983.46,10823.04,0.1429,0.8,0.0286,2,155220.99,182876.49,29.96,6180.02,2.0122,1.1681,1.7513,5
U00691,mass,Nizhny Novgorod,high,29,25,26,310466.24,10705.73,0.069,1.0,0.0,3,63838.55,155156.27,25.39,6352.33,2.001,1.1422,1.6853,2
U00244,student,Novosibirsk,low,27,22,25,251317.44,9308.05,0.1111,0.8519,0.0,2,153938.59,125711.72,23.76,5359.12,1.9992,1.1361,1.7369,3
U00606,mass,Saint Petersburg,medium,29,25,25,283374.43,9771.53,0.1379,0.7241,0.0,2,71154.15,143356.01,26.6,5518.85,1.9767,1.0904,1.7706,6
U00135,student,Saint Petersburg,low,21,18,18,264350.38,13217.52,0.0,0.7619,0.0476,2,105388.82,136383.32,25.72,5531.12,1.9383,0.8165,2.3897,2
U00612,mass,Moscow,low,32,25,27,275255.29,8879.2,0.25,0.5625,0.0313,2,143580.79,142662.88,25.04,5897.48,1.9294,1.2781,1.5056,11
U00319,student,Ekaterinburg,low,23,21,17,199351.24,9061.42,0.087,0.8696,0.0435,2,150488.12,104198.2,25.54,4223.63,1.9132,0.9006,2.1454,2
U00769,affluent,Moscow,medium,30,29,26,396796.96,13682.65,0.1333,0.8667,0.0333,3,111033.18,207808.39,25.59,8288.05,1.9094,1.1724,1.6509,2
U00518,mass,Novosibirsk,low,31,24,27,265102.0,8836.73,0.129,0.9032,0.0323,2,47846.17,139021.02,23.56,6026.12,1.9069,1.3156,1.4664,4
U00667,mass,Ekaterinburg,low,26,20,26,276434.69,11057.39,0.1538,0.9231,0.0385,1,109970.65,146378.08,25.98,5887.31,1.8885,1.0007,1.8782,3
U00112,small_business,Nizhny Novgorod,medium,30,23,22,343104.68,11831.2,0.1333,0.9,0.0333,4,83665.1,182406.55,22.8,7840.93,1.881,1.3158,1.5089,1
U00186,mass,Moscow,low,28,23,25,267676.07,9913.93,0.1786,0.75,0.0357,3,91982.48,142662.88,25.04,5897.48,1.8763,1.1183,1.681,12
U00089,mass,Saint Petersburg,low,26,20,22,268728.06,10335.69,0.1538,0.6154,0.0,2,179314.06,143356.01,26.6,5518.85,1.8746,0.9776,1.8728,7
U00354,student,Moscow,low,33,28,25,199353.9,6229.81,0.1212,0.7576,0.0303,3,98427.42,106510.34,24.3,4538.62,1.8717,1.3578,1.3726,1
U00146,mass,Moscow,low,30,26,24,266655.58,9195.02,0.2,0.8333,0.0333,3,93840.08,142662.88,25.04,5897.48,1.8691,1.1982,1.5591,13
U00264,student,Moscow,low,21,17,20,197488.3,9874.41,0.3333,0.7143,0.0476,2,74841.17,106510.34,24.3,4538.62,1.8542,0.8641,2.1756,2
U00195,student,Saint Petersburg,high,28,25,25,247433.94,8836.93,0.0357,0.6786,0.0,2,127599.55,136383.32,25.72,5531.12,1.8143,1.0886,1.5977,3
U00522,mass,Nizhny Novgorod,low,32,25,27,280784.54,9057.57,0.1875,0.9375,0.0313,3,118091.79,155156.27,25.39,6352.33,1.8097,1.2603,1.4259,3
U00267,mass,Nizhny Novgorod,low,37,32,33,279783.41,7771.76,0.1081,0.9189,0.027,2,60224.62,155156.27,25.39,6352.33,1.8032,1.4573,1.2235,4
U00104,mass,Ekaterinburg,low,30,27,25,260954.63,8698.49,0.0333,0.9,0.0,3,100626.84,146378.08,25.98,5887.31,1.7827,1.1546,1.4775,4
U00460,mass,Ekaterinburg,low,25,16,20,260088.05,11308.18,0.16,0.88,0.08,2,71576.93,146378.08,25.98,5887.31,1.7768,0.9622,1.9208,5
U00475,mass,Moscow,medium,18,15,17,251697.33,13983.18,0.2222,0.8889,0.0,2,63984.7,142662.88,25.04,5897.48,1.7643,0.7189,2.371,14
U00360,mass,Moscow,low,20,17,17,250926.02,12546.3,0.0,0.9,0.0,2,88152.44,142662.88,25.04,5897.48,1.7589,0.7988,2.1274,15
U00502,mass,Kazan,medium,18,17,17,319277.53,17737.64,0.0556,0.7778,0.0,2,138188.31,182876.49,29.96,6180.02,1.7459,0.6008,2.8702,6
U00654,mass,Ekaterinburg,low,20,19,17,255484.91,12774.25,0.25,0.95,0.0,2,173914.14,146378.08,25.98,5887.31,1.7454,0.7698,2.1698,6
U00402,student,Moscow,low,24,20,20,184488.34,8021.23,0.2917,0.7083,0.0417,3,51418.58,106510.34,24.3,4538.62,1.7321,0.9875,1.7673,3
U00161,affluent,Saint Petersburg,low,27,24,22,349373.67,13437.45,0.037,0.7407,0.037,2,155308.01,202805.33,27.35,7949.17,1.7227,0.9871,1.6904,2
U00660,affluent,Kazan,low,27,21,23,295558.75,11367.64,0.1111,0.8148,0.037,2,37445.35,171655.52,23.71,7455.45,1.7218,1.139,1.5247,1
U00290,student,Moscow,low,36,34,28,183003.62,5228.67,0.0833,0.75,0.0278,3,114727.94,106510.34,24.3,4538.62,1.7182,1.4813,1.152,4
U00783,student,Moscow,medium,26,23,19,182906.5,7034.87,0.2308,0.8462,0.0,3,56941.33,106510.34,24.3,4538.62,1.7173,1.0698,1.55,5
U00345,mass,Moscow,low,28,25,23,242094.56,8646.23,0.1071,0.6071,0.0,2,149918.32,142662.88,25.04,5897.48,1.697,1.1183,1.4661,16
U00035,small_business,Novosibirsk,low,27,21,25,425244.92,15749.81,0.1481,0.7037,0.0,2,127477.0,250631.71,23.11,10815.58,1.6967,1.1683,1.4562,1
U00628,affluent,Novosibirsk,medium,26,23,23,380019.47,14616.13,0.0769,0.9231,0.0,2,85635.51,224330.29,31.25,8098.0,1.694,0.832,1.8049,2
U00053,mass,Moscow,low,19,18,17,241644.41,12718.13,0.2105,0.7895,0.0,3,70708.85,142662.88,25.04,5897.48,1.6938,0.7589,2.1565,17
U00424,mass,Saint Petersburg,low,25,21,21,242318.63,10096.61,0.04,0.68,0.04,2,89465.38,143356.01,26.6,5518.85,1.6903,0.94,1.8295,8
U00038,student,Nizhny Novgorod,low,30,26,30,173374.05,5779.14,0.0333,0.9333,0.0,1,97551.07,103206.71,24.67,4276.55,1.6799,1.2162,1.3514,2
U00683,mass,Kazan,low,28,23,25,306011.46,10928.98,0.0357,1.0,0.0,3,90566.68,182876.49,29.96,6180.02,1.6733,0.9345,1.7684,7
U00559,student,Moscow,low,19,17,19,177836.23,9879.79,0.1579,0.5789,0.0526,1,102999.61,106510.34,24.3,4538.62,1.6697,0.7818,2.1768,6
U00429,mass,Moscow,high,34,29,32,237868.31,6996.13,0.0588,0.7941,0.0,2,49100.38,142662.88,25.04,5897.48,1.6673,1.358,1.1863,18
U00766,mass,Novosibirsk,low,26,21,22,231308.7,9252.35,0.0769,0.9231,0.0385,3,57019.42,139021.02,23.56,6026.12,1.6638,1.1034,1.5354,5
U00232,mass,Nizhny Novgorod,medium,32,24,28,257983.43,8599.45,0.0625,0.9375,0.0625,2,103900.22,155156.27,25.39,6352.33,1.6627,1.2603,1.3537,5
U00686,mass,Moscow,medium,21,19,18,236012.59,11238.69,0.0952,0.8095,0.0,2,188317.77,142662.88,25.04,5897.48,1.6543,0.8388,1.9057,19
U00439,affluent,Moscow,low,26,19,24,342869.67,13187.3,0.1538,0.7308,0.0,2,75273.74,207808.39,25.59,8288.05,1.6499,1.0161,1.5911,3
U00770,student,Novosibirsk,low,32,28,26,207303.9,6687.22,0.1563,0.8125,0.0313,3,59406.02,125711.72,23.76,5359.12,1.649,1.3465,1.2478,4
U00187,student,Ekaterinburg,low,21,19,19,171650.03,8173.81,0.0476,1.0,0.0,2,50982.78,104198.2,25.54,4223.63,1.6473,0.8223,1.9353,3
U00545,student,Nizhny Novgorod,low,26,22,21,169169.63,6766.79,0.0769,0.8462,0.0385,2,53396.04,103206.71,24.67,4276.55,1.6391,1.0541,1.5823,3
U00778,affluent,Saint Petersburg,low,39,31,32,331425.29,8498.08,0.1026,0.7692,0.0,2,64893.86,202805.33,27.35,7949.17,1.6342,1.4258,1.0691,3
U00565,mass,Moscow,low,25,23,22,232719.81,9696.66,0.08,0.72,0.04,2,62606.1,142662.88,25.04,5897.48,1.6313,0.9985,1.6442,20
U00293,mass,Nizhny Novgorod,low,31,25,25,253026.82,8162.16,0.0645,0.9355,0.0,2,86969.01,155156.27,25.39,6352.33,1.6308,1.221,1.2849,6
U00136,mass,Saint Petersburg,low,26,22,20,232065.52,9282.62,0.0385,0.8077,0.0385,3,67018.67,143356.01,26.6,5518.85,1.6188,0.9776,1.682,9
U00605,mass,Saint Petersburg,low,22,22,18,230673.01,10485.14,0.1818,0.6364,0.0,2,67297.86,143356.01,26.6,5518.85,1.6091,0.8272,1.8999,10
U00751,affluent,Novosibirsk,low,28,23,24,360799.82,13876.92,0.1429,0.8571,0.0714,2,134537.57,224330.29,31.25,8098.0,1.6083,0.896,1.7136,3
U00526,student,Saint Petersburg,low,29,24,28,219107.61,7555.43,0.1379,0.6552,0.0,2,74425.02,136383.32,25.72,5531.12,1.6066,1.1275,1.366,4
U00669,small_business,Moscow,low,28,24,25,332317.3,12308.05,0.1429,0.8571,0.0357,2,55233.98,207264.78,23.38,9166.95,1.6033,1.1979,1.3427,2
U00452,mass,Moscow,low,26,23,21,228626.17,8793.31,0.0385,0.6538,0.0,2,63673.19,142662.88,25.04,5897.48,1.6026,1.0385,1.491,21
U00453,mass,Ekaterinburg,low,39,33,30,232888.33,6128.64,0.1282,0.8974,0.0256,3,77264.03,146378.08,25.98,5887.31,1.591,1.501,1.041,7
U00553,mass,Kazan,low,31,25,25,288376.55,9302.47,0.129,0.7742,0.0,2,98241.33,182876.49,29.96,6180.02,1.5769,1.0346,1.5052,8
U00703,student,Moscow,low,33,30,30,167884.19,5415.62,0.0,0.7576,0.0606,2,34446.02,106510.34,24.3,4538.62,1.5762,1.3578,1.1932,7
U00155,mass,Kazan,low,24,21,21,286012.22,11917.18,0.0417,0.7917,0.0,2,113110.61,182876.49,29.96,6180.02,1.564,0.801,1.9283,9
U00098,mass,Ekaterinburg,low,25,21,22,228644.92,9145.8,0.08,0.96,0.0,2,136552.33,146378.08,25.98,5887.31,1.562,0.9622,1.5535,8
U00222,mass,Moscow,low,22,19,18,222084.14,10575.44,0.0909,0.5909,0.0455,3,94029.16,142662.88,25.04,5897.48,1.5567,0.8787,1.7932,22
U00323,mass,Saint Petersburg,medium,26,19,22,222908.87,8916.35,0.1538,0.7308,0.0385,2,49376.72,143356.01,26.6,5518.85,1.5549,0.9776,1.6156,11
U00602,small_business,Kazan,low,34,28,30,383997.29,11636.28,0.1176,0.8824,0.0294,2,53011.78,249319.8,27.0,9480.66,1.5402,1.2593,1.2274,1
U00280,mass,Nizhny Novgorod,low,29,24,24,238904.21,8238.08,0.069,0.8621,0.0,2,60684.83,155156.27,25.39,6352.33,1.5398,1.1422,1.2969,7
U00696,small_business,Novosibirsk,low,27,23,23,378510.8,14018.92,0.1852,0.8519,0.0,2,122565.9,250631.71,23.11,10815.58,1.5102,1.1683,1.2962,2
U00476,mass,Ekaterinburg,low,27,24,22,220823.82,8493.22,0.1111,0.8519,0.037,3,49815.51,146378.08,25.98,5887.31,1.5086,1.0392,1.4426,9
U00044,small_business,Ekaterinburg,low,24,21,19,242895.34,10120.64,0.0833,0.9167,0.0,2,62260.1,161080.7,25.86,6684.81,1.5079,0.9282,1.514,1
U00399,student,Moscow,low,21,19,19,159836.72,7991.84,0.1429,0.619,0.0476,2,98634.27,106510.34,24.3,4538.62,1.5007,0.8641,1.7609,8
U00682,affluent,Moscow,low,36,29,31,310590.52,9411.83,0.0833,0.8056,0.0833,3,79872.91,207808.39,25.59,8288.05,1.4946,1.4069,1.1356,4
U00101,mass,Moscow,low,23,20,22,212819.79,9253.03,0.087,0.7391,0.0,2,94341.71,142662.88,25.04,5897.48,1.4918,0.9186,1.569,23
U00621,mass,Moscow,low,29,27,27,211768.98,7843.3,0.1379,0.6897,0.069,2,46021.26,142662.88,25.04,5897.48,1.4844,1.1583,1.3299,24
U00678,affluent,Moscow,medium,24,21,21,308239.27,13401.71,0.125,0.75,0.0417,2,58826.93,207808.39,25.59,8288.05,1.4833,0.9379,1.617,5
U00167,mass,Nizhny Novgorod,low,32,26,29,229397.02,7168.66,0.1563,0.875,0.0,2,97237.38,155156.27,25.39,6352.33,1.4785,1.2603,1.1285,8
U00711,mass,Novosibirsk,low,29,23,24,205199.62,7075.85,0.0345,0.931,0.0,3,58821.14,139021.02,23.56,6026.12,1.476,1.2307,1.1742,6
U00209,mass,Nizhny Novgorod,medium,27,21,23,228919.34,8804.59,0.2222,0.963,0.037,2,62562.03,155156.27,25.39,6352.33,1.4754,1.0634,1.386,9
U00109,mass,Novosibirsk,low,22,21,20,204443.22,9292.87,0.1818,0.8182,0.0,2,115146.57,139021.02,23.56,6026.12,1.4706,0.9336,1.5421,7
U00388,small_business,Saint Petersburg,low,20,18,17,328458.0,16422.9,0.0,0.65,0.0,2,156459.36,223901.1,25.6,9153.12,1.467,0.7813,1.7942,2
U00395,mass,Moscow,low,24,22,22,209163.45,9094.06,0.0417,0.625,0.0417,2,140100.19,142662.88,25.04,5897.48,1.4661,0.9586,1.542,25
U00262,mass,Moscow,medium,23,21,17,207855.27,9037.19,0.087,0.8696,0.0,3,40558.83,142662.88,25.04,5897.48,1.457,0.9186,1.5324,26
U00613,mass,Moscow,low,24,21,22,207468.46,8644.52,0.0833,0.7083,0.0,3,125940.93,142662.88,25.04,5897.48,1.4543,0.9586,1.4658,27
U00570,affluent,Moscow,low,25,22,21,300929.28,12538.72,0.08,0.92,0.04,2,164735.06,207808.39,25.59,8288.05,1.4481,0.977,1.5129,6
U00107,student,Moscow,low,25,21,22,153813.36,6408.89,0.08,0.76,0.04,2,63703.37,106510.34,24.3,4538.62,1.4441,1.0287,1.4121,9
U00421,mass,Saint Petersburg,medium,25,20,20,205974.87,8582.29,0.24,0.76,0.04,3,113586.17,143356.01,26.6,5518.85,1.4368,0.94,1.5551,12
U00245,mass,Saint Petersburg,low,22,19,19,205920.87,9805.76,0.1818,0.7727,0.0455,2,78924.54,143356.01,26.6,5518.85,1.4364,0.8272,1.7768,13
U00039,small_business,Moscow,low,21,18,15,297417.15,14870.86,0.0476,0.7143,0.0476,3,129545.76,207264.78,23.38,9166.95,1.435,0.8984,1.6222,3
U00479,student,Nizhny Novgorod,high,21,17,17,147206.43,7009.83,0.0476,0.9048,0.0,2,67637.61,103206.71,24.67,4276.55,1.4263,0.8514,1.6391,4
U00403,affluent,Saint Petersburg,low,25,23,24,287326.04,11493.04,0.12,0.72,0.0,2,42222.91,202805.33,27.35,7949.17,1.4168,0.914,1.4458,4
U00607,mass,Nizhny Novgorod,medium,43,37,34,218634.71,5332.55,0.0465,0.9302,0.0465,3,31482.11,155156.27,25.39,6352.33,1.4091,1.6936,0.8395,10
U00458,small_business,Saint Petersburg,low,25,19,23,315465.32,12618.61,0.16,0.76,0.0,2,107882.34,223901.1,25.6,9153.12,1.4089,0.9766,1.3786,3
U00363,student,Kazan,low,29,25,26,164205.7,6081.69,0.2069,0.8621,0.069,2,46390.93,116601.08,24.79,4777.09,1.4083,1.17,1.2731,2
U00552,affluent,Ekaterinburg,low,25,22,20,277630.89,11567.95,0.12,1.0,0.04,3,120446.66,198721.58,24.07,8367.25,1.3971,1.0386,1.3825,2
U00495,student,Moscow,medium,23,23,19,148698.77,6465.16,0.087,0.6522,0.0,2,42869.85,106510.34,24.3,4538.62,1.3961,0.9464,1.4245,10
U00425,student,Moscow,low,31,30,26,148545.13,5122.25,0.129,0.7097,0.0645,3,35046.24,106510.34,24.3,4538.62,1.3947,1.2755,1.1286,11
U00018,affluent,Moscow,low,25,20,22,289764.11,11590.56,0.16,0.68,0.0,2,77032.1,207808.39,25.59,8288.05,1.3944,0.977,1.3985,7
U00561,student,Moscow,medium,25,22,21,148421.67,6184.24,0.08,0.64,0.04,3,80374.51,106510.34,24.3,4538.62,1.3935,1.0287,1.3626,12
U00777,mass,Ekaterinburg,high,36,26,31,203689.98,5990.88,0.1389,0.9722,0.0556,2,93820.4,146378.08,25.98,5887.31,1.3915,1.3856,1.0176,10
U00342,affluent,Nizhny Novgorod,low,33,28,27,291363.75,8829.2,0.0606,0.9394,0.0,3,42606.95,209612.39,30.13,7105.15,1.39,1.0954,1.2426,2
U00701,mass,Saint Petersburg,low,41,33,29,199254.03,4981.35,0.0732,0.7317,0.0244,3,56213.69,143356.01,26.6,5518.85,1.3899,1.5416,0.9026,14
U00046,small_business,Nizhny Novgorod,low,27,25,22,251522.9,9673.96,0.0741,0.8889,0.037,3,55169.9,182406.55,22.8,7840.93,1.3789,1.1842,1.2338,2
U00032,affluent,Kazan,low,28,24,24,236154.86,9082.88,0.0714,0.8929,0.0714,2,61705.86,171655.52,23.71,7455.45,1.3757,1.1811,1.2183,2
U00049,affluent,Nizhny Novgorod,low,28,24,25,287718.01,10656.22,0.1786,0.8929,0.0357,2,85151.2,209612.39,30.13,7105.15,1.3726,0.9295,1.4998,3
U00111,small_business,Saint Petersburg,low,32,30,27,306780.85,10578.65,0.1875,0.6875,0.0938,3,113239.7,223901.1,25.6,9153.12,1.3702,1.25,1.1557,4
U00060,mass,Saint Petersburg,low,32,29,27,196388.88,6137.15,0.125,0.625,0.0,3,93076.41,143356.01,26.6,5518.85,1.3699,1.2032,1.112,15
U00519,mass,Moscow,low,25,20,21,195169.97,7806.8,0.16,0.76,0.0,3,119094.4,142662.88,25.04,5897.48,1.3681,0.9985,1.3238,28
U00331,mass,Moscow,low,34,27,28,194197.1,5711.68,0.0882,0.8824,0.0,4,87633.33,142662.88,25.04,5897.48,1.3612,1.358,0.9685,29
U00378,mass,Moscow,medium,37,30,31,194178.53,5711.13,0.027,0.7568,0.0811,2,31932.23,142662.88,25.04,5897.48,1.3611,1.4778,0.9684,30
U00537,mass,Nizhny Novgorod,low,25,20,24,210773.03,8430.92,0.04,0.96,0.0,2,35418.19,155156.27,25.39,6352.33,1.3585,0.9846,1.3272,11
U00486,small_business,Saint Petersburg,low,30,23,26,302341.71,10078.06,0.0667,0.5333,0.0,3,113250.78,223901.1,25.6,9153.12,1.3503,1.1719,1.1011,5
U00116,affluent,Kazan,low,23,19,19,231470.53,10521.39,0.0435,0.8696,0.0435,3,96756.37,171655.52,23.71,7455.45,1.3485,0.9702,1.4112,3
U00742,mass,Moscow,low,25,23,21,190662.84,8666.49,0.2,0.8,0.12,2,57606.27,142662.88,25.04,5897.48,1.3365,0.9985,1.4695,31
U00732,student,Nizhny Novgorod,low,26,24,22,137603.97,5733.5,0.2308,0.8846,0.0769,2,62105.28,103206.71,24.67,4276.55,1.3333,1.0541,1.3407,5
U00428,mass,Ekaterinburg,low,33,29,26,195120.52,5912.74,0.0909,0.9697,0.0,4,31607.04,146378.08,25.98,5887.31,1.333,1.2701,1.0043,11
U00208,mass,Saint Petersburg,low,25,22,19,191065.58,7961.07,0.16,0.76,0.04,3,43123.67,143356.01,26.6,5518.85,1.3328,0.94,1.4425,16
U00490,mass,Saint Petersburg,medium,33,28,30,190896.63,6157.96,0.1212,0.7879,0.0606,3,88086.74,143356.01,26.6,5518.85,1.3316,1.2408,1.1158,17
U00253,affluent,Saint Petersburg,medium,22,17,17,268447.89,14128.84,0.1818,0.7727,0.1364,3,44970.67,202805.33,27.35,7949.17,1.3237,0.8043,1.7774,5
U00731,affluent,Novosibirsk,low,28,25,25,296461.81,10980.07,0.0714,0.8571,0.0357,2,67530.11,224330.29,31.25,8098.0,1.3215,0.896,1.3559,4
U00043,mass,Kazan,low,37,29,29,238831.05,6454.89,0.1622,0.7838,0.0,2,64113.54,182876.49,29.96,6180.02,1.306,1.2349,1.0445,10
U00193,small_business,Moscow,low,23,16,20,269470.69,11716.12,0.1304,0.6957,0.0,2,70609.93,207264.78,23.38,9166.95,1.3001,0.984,1.2781,4
U00533,mass,Moscow,low,23,22,22,184855.48,8402.52,0.1304,0.6957,0.0435,2,111845.75,142662.88,25.04,5897.48,1.2958,0.9186,1.4248,32
U00456,mass,Saint Petersburg,low,31,28,26,185751.35,5991.98,0.1935,0.7419,0.0,2,43118.05,143356.01,26.6,5518.85,1.2957,1.1656,1.0857,18
U00431,mass,Moscow,low,26,25,23,184548.6,7381.94,0.1154,0.8077,0.0385,2,72702.36,142662.88,25.04,5897.48,1.2936,1.0385,1.2517,33
U00761,mass,Ekaterinburg,low,25,21,24,189327.64,7573.11,0.08,0.96,0.0,2,85158.4,146378.08,25.98,5887.31,1.2934,0.9622,1.2863,12
U00358,mass,Ekaterinburg,low,23,23,20,189216.76,9010.32,0.1304,0.913,0.087,2,77764.58,146378.08,25.98,5887.31,1.2927,0.8852,1.5305,13
U00100,student,Saint Petersburg,low,22,17,20,175454.99,7975.23,0.0,0.7273,0.0,2,72160.75,136383.32,25.72,5531.12,1.2865,0.8554,1.4419,5
